user_text,assistant_text,source_dataset,intent
organisms that has not been cultured successfully so far is ,leptospira,medmcqa_train,clinical_qa
normal waist hip ratio of a female is below,0.7,medmcqa_train,clinical_qa
the most common cause of renal scaring in a 3 year old child is ,tuberculosis,medmcqa_train,clinical_qa
a 6hours old snake bite patient comes to emergency with mild local edema at the injury site. on examination no abnormalities detected and lab repos are normal. most appropriate management is,incision and suction,medmcqa_train,clinical_qa
which of the following agents is most commonly associated with recurrent meningitis due to csf leaks?,meningococci,medmcqa_train,clinical_qa
treatment of choice in traumatic facial nerve injury is:,facial sling,medmcqa_train,clinical_qa
"what is the best method of informing the rural population about oral rehydration technique: march 2013 (d, f)",chalk and talk/lecture,medmcqa_train,clinical_qa
lymph vessel which drain the posterior 1/3 rd of the tongue:,basal vessel.,medmcqa_train,clinical_qa
risk factors associated with post operative nausea and vomiting following strabismus surgery are all except ,age < 3years,medmcqa_train,clinical_qa
all are true about acute osteomyelitis except,severe pain,medmcqa_train,clinical_qa
anterolateral ahroscopy of knee is for:,to see patellofemoral aiculation,medmcqa_train,clinical_qa
regarding vaginal candidiasis which one of the following is false:,intense pruritus,medmcqa_train,clinical_qa
25 year old patient suspected to have a pneumoperitoneum. patient is unable to stand. best x ray view is,left lateral decubitus view,medmcqa_train,clinical_qa
what is the most probable poal of entry of aspergillus?,blood,medmcqa_train,clinical_qa
for tof management in antenatal period includes ?,open hea surgery,medmcqa_train,clinical_qa
what change will be seen in vertebral column in ochronosis ,calcification of disc,medmcqa_train,clinical_qa
"if solid line represent the rigid height, then the following diagram with excessive inter arch space is classified in?",class 1,medmcqa_train,clinical_qa
pearsonian measure of skewness ,mode mean/ sd,medmcqa_train,clinical_qa
following are the causes of sudden loss of vision except ?,central serous retinopathy,medmcqa_train,clinical_qa
all of the following are features of lymph node histology except,coex and medulla are present,medmcqa_train,clinical_qa
"during sx for meningioma, the left paracentral lobule was injured. it would lead to paresis of",rt. leg and perineus,medmcqa_train,clinical_qa
which of the following bacterial meningitis is associated with sudural effusion?,h. influenza,medmcqa_train,clinical_qa
"all of the following statements are true regarding hyperophy, except:",cells capable of division respond to stress by hyperophy and hyperplasia.,medmcqa_train,clinical_qa
glucose sympo occurs with:,na+,medmcqa_train,clinical_qa
all are true about temporal arteritis except ,more corrunon in females,medmcqa_train,clinical_qa
of the various modalities used in the treatment of re threatening effects of hyperkalemia which one of the following as the most rapid onset of action ?,hemodialysis,medmcqa_train,clinical_qa
in chronic alcoholism the rate limiting component for alcohol metabolism excluding enzymes is/are : (pgi dec 2008),nadp,medmcqa_train,clinical_qa
minimum level of iodine iodized salt reaching the consumer level according to iodine programme should be: ,30 ppm,medmcqa_train,clinical_qa
true statement regarding specific death rates,find out cause or disease specific,medmcqa_train,clinical_qa
pre exposure prophylaxis for rabies is given on days,"0, 3",medmcqa_train,clinical_qa
"regarding sjogren's syndrome, all are true except: september 2010",rheumatoid ahritis,medmcqa_train,clinical_qa
best indicator of antemoum drowning is :,froth in mouth and nostrils,medmcqa_train,clinical_qa
splenomegaly may be a feature of: march 2013,megaloblastic anemia,medmcqa_train,clinical_qa
gp2b3a inhibitors are all except ,tirofiban,medmcqa_train,clinical_qa
true of case control studies ,it proceeds from cause to effect,medmcqa_train,clinical_qa
"all of the following could include the mechanism or function of oxigenases, except:",required for hydroxylation of steroids,medmcqa_train,clinical_qa
"according to recent sc judgment, doctor can be charged for medical negligence under 304 a, only if: aiims 12",simple negligence,medmcqa_train,clinical_qa
which of the following is very difficult to induce antibody ,polysaccharide,medmcqa_train,clinical_qa
prevalence is a:,ratio,medmcqa_train,clinical_qa
s2 is best appreciated in ,3rd left intercostal space,medmcqa_train,clinical_qa
position of limb in posterior dislocation of hip ,"flexion, abduction & external rotation",medmcqa_train,clinical_qa
drug causing malignant hyperthermia:(asked twice in the exam),cisatracurium,medmcqa_train,clinical_qa
household insectiside used for malaria ,malathion,medmcqa_train,clinical_qa
false about obstructive jaundice,unconjugated bilirubin,medmcqa_train,clinical_qa
all of the following structure lies outside the cavernous sinus except,foramen lacerum,medmcqa_train,clinical_qa
which of the following is the best procedure done for intrapaum fetal monitoring:,fetal scalp ph,medmcqa_train,clinical_qa
"which of the following is measured by the device, bellow's spirometer?",closing volume,medmcqa_train,clinical_qa
which of the following is a newly emerging food poisoning organism,salmonella typhimurium,medmcqa_train,clinical_qa
atherosclerosis initiation by fibroblast plaque is mediated by injury to ?,adventitia,medmcqa_train,clinical_qa
the wbc that is considered “second line of defence” is:,basophil,medmcqa_train,clinical_qa
mark the true statement regarding use of lithium in maniac depressive psychosis?,monitoring of serum concentration is not useful for guiding dose adjustment,medmcqa_train,clinical_qa
determination of pulp vitality by pulse oximeter based on:,beer's law.,medmcqa_train,clinical_qa
an isograft indicates transfer of tissues between ,related donors,medmcqa_train,clinical_qa
all of the following are causes of congenital blindness except,congenital rubella,medmcqa_train,clinical_qa
hypersecretory glaucoma is seen in –,epidemic dropsy,medmcqa_train,clinical_qa
"a 14 year old girl presents with quadriparesis, facial palsy, winging of scapula and ptosis. there is h/o similar illness in father and brother but less severe. her cpk level is also raised (500iu/l). she is probably suffering from?",limb girdle dystrophy,medmcqa_train,clinical_qa
which of the following is true statement regarding human eye,cornea cut off wavelength upto 400 nm,medmcqa_train,clinical_qa
which of the following muscle is not a hybrid muscle,pectoralis major,medmcqa_train,clinical_qa
delayed union of fracture of a bone follo wing a surgical treatment may be due to,inadequate mobilization,medmcqa_train,clinical_qa
what is the pressure of inspiration?,intrapleuarl,medmcqa_train,clinical_qa
one standard detion in normal standard curev includes value ,50%,medmcqa_train,clinical_qa
foam cells are seen in infection with which virus ?,measles,medmcqa_train,clinical_qa
"during extraction of the upper first molar, the mesio buccal root is missing and is suspected to have been pushed into the maxillary sinus. the best position for the patient immediately after the incident is",to position the patient upright,medmcqa_train,clinical_qa
rescue p.c.i is done for which of the following?,persistent chest pain with st elevation > 30 min after thrombolysis,medmcqa_train,clinical_qa
fever associated with infection,is due to interleukin 1 released from cd4 t helper cells,medmcqa_train,clinical_qa
last organ to putrefy in females is?,liver,medmcqa_train,clinical_qa
hamartomatous lung tissue is?,lobar sequestration,medmcqa_train,clinical_qa
test for diagnosis of pyogenic meningitis is?,csf pcr,medmcqa_train,clinical_qa
causes of thickened gallbladder wall on ultrasound examination are all except:,congestive cardiac failure,medmcqa_train,clinical_qa
"in caloric test, cold water stimulation causes movement of eye ",some side,medmcqa_train,clinical_qa
which of the following is not false about annual risk of tb,it is represents new cases of tb,medmcqa_train,clinical_qa
"a 12 year old girl presents to the casualty with symptoms of fever, shoness of breath, and cough. a chest x ray reveals complete consolidation of the lower lobe of the left lung. cultures of the lower lobe of the left lung would most likely reveal which organism?",streptococcus pneumoniae,medmcqa_train,clinical_qa
iga deposits on skin biopsy,henoch schouleiln puspura,medmcqa_train,clinical_qa
a dentin 'primer'?,etches the dentin,medmcqa_train,clinical_qa
which of the following hormonal activity is expected immediately prior to ovulation?,lh surge,medmcqa_train,clinical_qa
following are fibrous joints :,pubic symphysis,medmcqa_train,clinical_qa
for exhumation the order should be passed by ,chief judicial magistrate,medmcqa_train,clinical_qa
the radiograph of a 32 year old patient is shown below. the patient is asymptomatic and the lesion revealed in the radiograph is an accidental finding. the most likely diagnosis is:,stafne’s bone cavity,medmcqa_train,clinical_qa
which of the following is not true for myelinated nerve fibers:,impulse through myelinated fibers is slower than non myelinated fibers,medmcqa_validation,clinical_qa
which of the following is not true about glomerular capillaries'),the oncotic pressure of the fluid leaving the capillaries is less than that of fluid entering it,medmcqa_validation,clinical_qa
a 29 yrs old woman with a pregnancy of 17 week has a 10 years old boy with down syndrome. she does not want another down syndrome kid; best advice to her is,ultra sound at this point of time will definitely tell her that next baby will be down syndromic or not,medmcqa_validation,clinical_qa
axonal transport is:,retrograde,medmcqa_validation,clinical_qa
low insulin to glucagon ratio is seen in all of these except:,glycogen synthesis,medmcqa_validation,clinical_qa
concentration of tropicamide:,0.01,medmcqa_validation,clinical_qa
which of the following statements is true regarding h i n1 influenza?,pregnant woman with sore throat can be staed immediately on oseltamivir without diagnostic testing under category b,medmcqa_validation,clinical_qa
which of the following are not a branch of external carotid aery in kiesselbach's plexus.,sphenopalatine aery,medmcqa_validation,clinical_qa
diagnosis of the following ecg ,ventricular bigeminy,medmcqa_validation,clinical_qa
a blue new born presents with cyanosis. the x–ray chest reveal oligaemic lung field and normal sized heart. most likely diagnosis is –,ebstein's anomaly,medmcqa_validation,clinical_qa
27. the lateral spread of dental caries is facilitated mostly by the,enamel spindles,medmcqa_validation,clinical_qa
a second year pg resident tells you to perform an abg of a patient. all of the following are true about performing an abg except:,"before performing the abg, syringe should be loaded with 0.3 cc of heparin",medmcqa_validation,clinical_qa
respiratory rhythm generation center is located at:,dorsal respiratory group,medmcqa_validation,clinical_qa
gait apraxia is seen in thromboembolic episode involving:,aca,medmcqa_validation,clinical_qa
heavy forces on periodontal ligament causes:,hyalinization,medmcqa_validation,clinical_qa
"about n. gonorrhoea, all are true except",most common cause of urethritis in male,medmcqa_validation,clinical_qa
"a patient who was on ventilator and being ventilated for past few days, suddenly pulls out the endotracheal tube. what is the next step of management?","assess the patient, give bag and mask ventilation and look for spontaneous breathing",medmcqa_validation,clinical_qa
"in a 6 month old child, thick curd like white patch appears on the buccal mucosa. on rubbing it leaves an erythematous patch. most likely diagnosis is:",lupus erythematous,medmcqa_validation,clinical_qa
characteristic of venous blood flow of lower limb in duplex doppler is?,monophasic,medmcqa_validation,clinical_qa
the source of calcium ions of a calcific bridge in a tooth in which calcium hydroxide pulpotomy has been performed is:,blood vessel borne,medmcqa_validation,clinical_qa
"2, 3 bpg binds to sites of haemoglobin and the affinity for oxygen","4, decreases",medmcqa_validation,clinical_qa
highest concentration of oxygen is delivered through?,venturi mask,medmcqa_validation,clinical_qa
sharpest cusp is seen in,upper canine,medmcqa_validation,clinical_qa
a mother is hbs ag positive and anti hbe ag positive. risk of transmission of hep. b in child is:,20%,medmcqa_validation,clinical_qa
"in a patient with competent lips together at rest, the lip line is opposite the tips of the upper incisors. the lip line is then described as",incomplete,medmcqa_validation,clinical_qa
"a patient presented to emergency with overdose some drug. there were increased salivation and increased bronchial secretions. on examination, blood pressure was 88/60 mmhg. rbc esterase level is 50. what should be the treatment of this person?",neostigmine,medmcqa_validation,clinical_qa
the current bar clasp design used is:,mesio occlusal rest,medmcqa_validation,clinical_qa
all of the following are true regarding class ii inlay gingival margins preparation except?,lap sliding fit of metal margin,medmcqa_validation,clinical_qa
breakdown of periodontal fibres in periodontitis is due to bacterial enzyme: (or) which of the following bacterial products have been implicated in initiation of inflammatory periodontal disease?,collagenase,medmcqa_validation,clinical_qa
"in a study, two groups of newborns are checked for their weights based on whether their mothers received food supplements or not. the appropriate test which can be used for comparing the data is:",paired t test,medmcqa_validation,clinical_qa
which vitamin is required for glycogen phosphorylase?,plp,medmcqa_validation,clinical_qa
a child's behaviour is traced to have dental difficulties from his mother. the most satisfactory method of handling the situation is to:,introduce another child as a good example,medmcqa_validation,clinical_qa
which of the following is the only complete cailage ring in the respiratory tree?,cricoid cailage,medmcqa_validation,clinical_qa
steps of intubation arrange in sequence: a. head extension and flexion of neck b. introduction of laryngoscope c. inflation of cuff d. check breath sounds with stethoscope e. fixation of the tube to prevent dislodgement,abcde,medmcqa_validation,clinical_qa
in erythroblastosis fetalis not involved is –,anti e,medmcqa_validation,clinical_qa
"a dentist suffered from hepatitis b infection 3 months back. his laboratory tests are normal, but he is not allowed by the medical board to do surgical practice. he is:",healthy carrier,medmcqa_validation,clinical_qa
a pediatrician in a district hospital with specialization neonatal care unit calls an ophthalmologist for consultation for which of the following?,a newborn with respiratory distress,medmcqa_validation,clinical_qa
"in a child with active liver failure, the most important prognosis factor for death is –",increasing prothrombin time,medmcqa_validation,clinical_qa
"a patient went into shock immediately after normal delivery, likely cause:",pph,medmcqa_validation,clinical_qa
"a patient presented with flat topped violaceous papules, thinning of nails and onycholysis. what is the microscopic finding observed in this patient?",suprabasal split,medmcqa_validation,clinical_qa
which of the following is not. true regarding myelopathy?,sensory loss of facial area,medmcqa_validation,clinical_qa
which of the following committees has recommended a 3 year bachelor degree in medical education for rural health service?,high level expe group of universal health program for india,medmcqa_validation,clinical_qa
sequential arrangement of fetal scans ,anomalous scan and nt scan,medmcqa_validation,clinical_qa
which one of the following is a muscle splitting incision?,pfannenstiel incision,medmcqa_validation,clinical_qa
multiple canals in mandibular premolars are seen in?,africas,medmcqa_validation,clinical_qa
which of the following blade angle is appropriate for scaling and root planing,a,medmcqa_validation,clinical_qa
which pa of brachial plexus do not give branches,root,medmcqa_validation,clinical_qa
"if the rb gene phosphorylation is defective, which of the following will happen?",cell cycle will stop at gi phase,medmcqa_validation,clinical_qa
cumulative index is:,ramjford's periodontal index,medmcqa_validation,clinical_qa
the cells which will proliferate from top to bottom of villi are:,goblet cells,medmcqa_validation,clinical_qa
what is the usual weight of rabbit used in ophthalmological experiments?,0.5 1 kg,medmcqa_validation,clinical_qa
"in plasmodium vivax malaria, relapse is caused by:september 2012",schizont,medmcqa_validation,clinical_qa
retraction of mandible is achieved by:,lateral pterygoid,medmcqa_validation,clinical_qa
how is modified shock index represented as?,hr/map,medmcqa_validation,clinical_qa
"a 3 week neonate with ambiguous genitalia presented with na+ 127 meq/l, k+ 7.2 meq/l wit bp 52/24 mm hg and he was managed with iv fluids. what is the next step of management?",spironolactone,medmcqa_validation,clinical_qa
base pairs in dna,46 billions,medmcqa_validation,clinical_qa
which of the following is a solid solution?,cobalt chromium,medmcqa_validation,clinical_qa
tracheal secretions should be suctioned for:,10 15 seconds,medmcqa_validation,clinical_qa
"a patient presents with carcinoma of the larynx involving the left false cords, left arytenoid and the left aryepiglottic folds with bilateral mobile true cords. treatment of choice is ",vertical hemilaryngectomy,medmcqa_validation,clinical_qa
which of the following lipoproteins does not move towards charged end in electrophoresis?,hdl,medmcqa_validation,clinical_qa
"a 60 years old male presented with fever, chills and dysuria. patient was hospitalized in emergency for 5 days. psa level was 7.4. next best step in this patient:",trus guided biopsy,medmcqa_validation,clinical_qa
name the structure marked with arrow,golgi bodies,medmcqa_validation,clinical_qa
"a patient from,nqh eastern states was diagnosed to have infection with p. falciparum malaria. what is the most appropriate drug for this patient?",aemether plus lumefantrine,medmcqa_validation,clinical_qa
"iron is present in all, except",catalase,medmcqa_validation,clinical_qa
the most common bone tumor that occurs in children is:,osteosarcoma,medmcqa_validation,clinical_qa
"in a couple for treatment of infeility from the last four years, female paner is normal. male paner has 0.8 ml semen volume per ejaculate on two repeated samples and absent fructose, with no sperms on examination under microscope. what is the next line of management?",testicular biopsy,medmcqa_validation,clinical_qa
the zygomatic bone does not articulate with:,maxillary bone,medmcqa_validation,clinical_qa
which of the following statements is true regarding medical aboion?,can only be done up to 72 days,medmcqa_validation,clinical_qa
calcium ions triggers muscle contraction by binding to:,myosin,medmcqa_validation,clinical_qa
"sd plasma destroys lipid enveloped virus. on sd plasma transfusion, which of the following infection is the likely possibility?",hiv,medmcqa_validation,clinical_qa
"according to the intelligence quotient classification, a score of 90 110 is:",low average.,medmcqa_validation,clinical_qa
"due to which of the following enzyme deficiency, vitamin c cannot be synthesised in humans?",l gulonic acid reductase,medmcqa_validation,clinical_qa
in a patient of heart disease antibiotic prophylaxis for dental extraction is:,amoxicillin.,medmcqa_validation,clinical_qa
"which of the following type of failure may occur, if the coefficient of thermal expansion of ceramic is much lower than that of metal?",cohesive failure of ceramic,medmcqa_validation,clinical_qa
anti monsoon curve seen in :,anterior,medmcqa_validation,clinical_qa
"a 10 years old child has lytic lesions in upper femur, the differential diagnosis can be all except :",plasmacytoma,medmcqa_validation,clinical_qa
during periradicular surgery bone is removed with?,round burr,medmcqa_validation,clinical_qa
the primary function of the dental pulp is:,nutritive,medmcqa_validation,clinical_qa
which of the following increases callus formation:,rigid immobilization,medmcqa_validation,clinical_qa
child of vasanthi was weaned from breast milk on the 5th day and was given sugarcane juice the child developed hypoglycemia and hepatomegaly biochemical examination showed hypophosphatemia and enzyme deficiencies–reducing substances in urine. the child is probably suffering from which of the following enzyme deficiencies –,fructokinase,medmcqa_validation,clinical_qa
skeletal muscles,contracts when actin and myosin filaments shorten,medmcqa_validation,clinical_qa
which of the following is most effective for gluconeogenesis in starvation?,acetyl co a stimulation of pyruvate carboxylase,medmcqa_validation,clinical_qa
which is not involved in iron metabolism?,transthyretin,medmcqa_validation,clinical_qa
a 14 year girl presented with absent thelarche.on examination uterus was present. investigations showed high fsh. karyotype is xy.what is the probable diagnosis?,gonadal dysgenesis,medmcqa_validation,clinical_qa
reciprocal arm taper in,1 dimension,medmcqa_validation,clinical_qa
bluegrass appliance is used to treat:,tongue thrusting.,medmcqa_validation,clinical_qa
on a primary 2nd molar caries occur most commonly on,occlusal pit and fissures,medmcqa_validation,clinical_qa
waldeyer's lymphatic chain is formed by all except,tubal and lingual tonsils,medmcqa_validation,clinical_qa
"polydactyly, craniosynostosis, late closure of fontanelles is a feature of:",apert's syndrome,medmcqa_validation,clinical_qa
physiological changes seen in laparoscopy include all except:,increased cvp,medmcqa_validation,clinical_qa
which of the following nerve fibre types is least susceptible to la blockade?,a beta,medmcqa_validation,clinical_qa
"a child born with multiple congenital defect including cleft palate, neural tube defect, atrial septal defect and microcephaly which of the following drug is used by mother during pregnancy:",erythromycin,medmcqa_validation,clinical_qa
incorporation of peripheral seal in an impression is necessary to obtain;,stability,medmcqa_validation,clinical_qa
increase in height of mandible with increase in interdental spaces in elderly man,hyperpituitarism,medmcqa_validation,clinical_qa
a patient has seasonal allergic rhinitis and is on terfenadine. he develops cardiac arrhythmias after a course of antibiotics. which of the following antibiotic could have been given:,tetracycline,medmcqa_validation,clinical_qa
modulus of elasticity means:,rigidity or stiffness of the material,medmcqa_validation,clinical_qa
vwf factor is produced by:,platelets,medmcqa_validation,clinical_qa
which of the following statement is false statement about snake bites?,atropine premedication should be used before administering neostigmine,medmcqa_validation,clinical_qa
a prosthetic appliance given to cover the palatal defect in patients with cleft palate is called,artificial velum,medmcqa_validation,clinical_qa
biofilm forming bacteria causes antimicrobial resist ance by all of the following except:,altered metabolism,medmcqa_validation,clinical_qa
do mitochondria play a role in remodelling lace plant leaves during programmed cell death?,"results depicted mitochondrial dynamics in vivo as pcd progresses within the lace plant, and highlight the correlation of this organelle with other organelles during developmental pcd. to the best of our knowledge, this is the first report of mitochondria and chloroplasts moving on transvacuolar strands to form a ring structure surrounding the nucleus during developmental pcd. also, for the first time, we have shown the feasibility for the use of csa in a whole plant system. overall, our findings implicate the mitochondria as playing a critical and early role in developmentally regulated pcd in the lace plant. final decision: yes",pubmedqa_train,evidence_qa
landolt c and snellen e acuity: differences in strabismus amblyopia?,"using the charts described, there was only a slight overestimation of visual acuity by the snellen e compared to the landolt c, even in strabismus amblyopia. small differences in the lower visual acuity range have to be considered. final decision: no",pubmedqa_train,evidence_qa
"syncope during bathing in infants, a pediatric form of water induced urticaria?","""aquagenic maladies"" could be a pediatric form of the aquagenic urticaria. final decision: yes",pubmedqa_train,evidence_qa
are the long term results of the transanal pull through equal to those of the transabdominal pull through?,"our long term study showed significantly better (2 fold) results regarding the continence score for the abdominal approach compared with the transanal pull through. the stool pattern and enterocolitis scores were somewhat better for the terpt group. these findings raise an important issue about the current surgical management of hd; however, more cases will need to be studied before a definitive conclusion can be drawn. final decision: no",pubmedqa_train,evidence_qa
can tailored interventions increase mammography use among hmo women?,"the effects of the intervention were most pronounced after the first intervention. compared to usual care, telephone counseling seemed particularly effective at promoting change among nonadherent women, the group for whom the intervention was developed. these results suggest that telephone counseling, rather than tailored print, might be the preferred first line intervention for getting nonadherent women on schedule for mammography screening. many questions would have to be answered about why the tailored print intervention was not more powerful. nevertheless, it is clear that additional interventions will be needed to maintain women's adherence to mammography. medical subject headings (mesh): mammography screening, telephone counseling, tailored print communications, barriers. final decision: yes",pubmedqa_train,evidence_qa
double balloon enteroscopy: is it efficacious and safe in a community setting?,"dbe appears to be equally safe and effective when performed in the community setting as compared to a tertiary referral center with a comparable yield, efficacy, and complication rate. final decision: yes",pubmedqa_train,evidence_qa
30 day and 1 year mortality in emergency general surgery laparotomies: an area of concern and need for improvement?,"emergency laparotomy carries a high rate of mortality, especially in those over the age of 70 years, and more needs to be done to improve outcomes, particularly in this group. this could involve increasing acute surgical care manpower, early recognition of patients requiring emergency surgery, development of clear management protocols for such patients or perhaps even considering centralisation of emergency surgical services to specialist centres with multidisciplinary teams involving emergency surgeons and care of the elderly physicians in hospital and related community outreach services for post discharge care. final decision: maybe",pubmedqa_train,evidence_qa
is adjustment for reporting heterogeneity necessary in sleep disorders?,"sleep disorders are common in the general adult population of japan. correction for reporting heterogeneity using anchoring vignettes is not a necessary tool for proper management of sleep and energy related problems among japanese adults. older age, gender differences in communicating sleep related problems, the presence of multiple morbidities, and regular exercise should be the focus of policies and clinical practice to improve sleep and energy management in japan. final decision: no",pubmedqa_train,evidence_qa
do mutations causing low hdl c promote increased carotid intima media thickness?,genetic variants identified in the present study may be insufficient to promote early carotid atherosclerosis. final decision: no,pubmedqa_train,evidence_qa
a short stay or 23 hour ward in a general and academic children's hospital: are they effective?,this data demonstrates the robust nature of the short stay ward. at these two very different institutions we have shown improved bed efficient and patient care in a cost effective way. we have also reported on greater parental satisfaction and early return of the child with their family to the community. final decision: yes,pubmedqa_train,evidence_qa
did chile's traffic law reform push police enforcement?,"findings suggest that traffic law reforms in order to have an effect on both traffic fatality and injury rates reduction require changes in police enforcement practices. last, this case also illustrates how the diffusion of successful road safety practices globally promoted by who and world bank can be an important influence for enhancing national road safety practices. final decision: yes",pubmedqa_train,evidence_qa
therapeutic anticoagulation in the trauma patient: is it safe?,"trauma patients have a significant complication rate related to anticoagulation therapy, and predicting which patients will develop a complication remains unclear. prospective studies are needed to determine which treatment regimen, if any, is appropriate to safely anticoagulate this high risk population. final decision: no",pubmedqa_train,evidence_qa
differentiation of nonalcoholic from alcoholic steatohepatitis: are routine laboratory markers useful?,"higher mcvs and ast/alt ratios in ash reflect the severity of underlying liver disease and do not differentiate nash from ash. instead, these biomarkers might prove useful in guiding selection of patients for liver biopsy and in targeting therapy. final decision: yes",pubmedqa_train,evidence_qa
prompting primary care providers about increased patient risk as a result of family history: does it work?,"no change occurred upon instituting simple, at the visit family history prompts geared to improve pcps' ability to identify patients at high risk for 6 common conditions. the results are both surprising and disappointing. further studies should examine physicians' perception of the utility of prompts for family history risk. final decision: no",pubmedqa_train,evidence_qa
do emergency ultrasound fellowship programs impact emergency medicine residents' ultrasound education?,emergency us fellowship programs had a positive impact on residents' us educational experiences. emergency medicine residents performed more scans overall and also used bedside us for more advanced applications in programs with eus fellowships. final decision: yes,pubmedqa_train,evidence_qa
patient controlled therapy of breathlessness in palliative care: a new therapeutic concept for opioid administration?,opioid pct is a feasible and acceptable therapeutic method to reduce refractory breathlessness in palliative care patients. final decision: yes,pubmedqa_train,evidence_qa
is there still a need for living related liver transplantation in children?,"the short and long term outcomes after lrt and slt did not differ significantly. to avoid the risk for the donor in lrt, slt represents the first line therapy in pediatric liver transplantation in countries where cadaveric organs are available. lrt provides a solution for urgent cases in which a cadaveric graft cannot be found in time or if the choice of the optimal time point for transplantation is vital. final decision: yes",pubmedqa_train,evidence_qa
do patterns of knowledge and attitudes exist among unvaccinated seniors?,findings suggest that cluster analyses may be useful in identifying groups for targeted health messages. final decision: yes,pubmedqa_train,evidence_qa
is there a model to teach and practice retroperitoneoscopic nephrectomy?,rpn in a porcine model is feasible and could be very useful for teaching and practicing retroperitoneoscopy. final decision: yes,pubmedqa_train,evidence_qa
cardiovascular risk in a rural adult west african population: is resting heart rate also relevant?,significant associations were observed between rhr and several established cardiovascular risk factors. prospective studies are needed in sub saharan african populations to establish the potential value of rhr in cardiovascular risk assessment. final decision: yes,pubmedqa_train,evidence_qa
israeli hospital preparedness for terrorism related multiple casualty incidents: can the surge capacity and injury severity distribution be better predicted?,hospital preparedness can be better defined by a fixed number of casualties rather than a percentile of its bed capacity. only 20% of the arriving casualties will require immediate medical treatment. implementation of this concept may improve the utilisation of national emergency health resources both in the preparation phase and on real time. final decision: yes,pubmedqa_train,evidence_qa
acute respiratory distress syndrome in children with malignancy can we predict outcome?,"peak inspiratory pressure, peep, and ventilation index values could distinguish survivors from nonsurvivors by day 3. this may assist in early application of supportive nonconventional therapies in children with malignancy and ards. final decision: yes",pubmedqa_train,evidence_qa
secondhand smoke risk in infants discharged from an nicu: potential for significant health disparities?,"the most disadvantaged families were least likely to have protective health behaviors in place to reduce shse and, consequently, are most at risk for tobacco exposure and subsequent tobacco related health disparities. innovative shse interventions for this vulnerable population are sorely needed. final decision: yes",pubmedqa_train,evidence_qa
do nomograms designed to predict biochemical recurrence (bcr) do a better job of predicting more clinically relevant prostate cancer outcomes than bcr?,"currently available nomograms used to predict bcr accurately predict pcsm and other more clinically relevant endpoints. moreover, not only do they significantly predict pcsm, but do so with generally greater accuracy than bcr. final decision: yes",pubmedqa_train,evidence_qa
